GeographyCode,MedianAge
E02000830,33
E02000831,33
E02000832,33
E02000833,31
E02000834,34
E02000835,34
E02000836,35
E02000837,37
E02000838,35
E02000839,36
E02000840,33
E02000841,33
E02000842,41
E02000843,35
E02000844,36
E02000845,36
E02000846,40
E02000847,42
E02000848,39
E02000849,37
E02000850,39
E02000851,35
E02000852,37
E02000853,37
E02000854,39
E02000855,42
E02000856,39
E02000857,37
E02000858,32
E02000859,42
E02000860,36
E02000861,44
E02000863,43
E02000864,30
E02000865,29
E02000866,30
E02000867,28
E02000868,29
E02000869,31
E02000870,29
E02000871,27
E02000872,28
E02000873,25
E02000874,27
E02000875,27
E02000876,28
E02000877,27
E02000878,28
E02000879,29
E02000880,28
E02000881,27
E02000882,28
E02000883,28
E02000884,28
E02000885,28
E02000886,31
E02000887,28
E02000888,29
E02000889,30
E02000890,34
E02000891,29
E02000893,31
E02000894,30
E02000895,42
E02000896,42
E02000897,38
E02000898,40
E02000899,40
E02000900,35
E02000901,39
E02000902,34
E02000903,32
E02000904,32
E02000905,33
E02000906,33
E02000907,31
E02000908,31
E02000909,34
E02000910,32
E02000911,31
E02000912,32
E02000913,32
E02000914,29
E02000915,32
E02000916,31
E02000917,30
E02000918,31
E02000919,31
E02000920,29
E02000921,30
E02000922,30
E02000923,34
E02000924,31
E02000925,31
E02000926,32
E02000927,32
E02000928,34
E02000929,30
E02000930,30
E02000931,32
E02000932,32
E02000933,34
E02000934,31
E02000935,27
E02000936,33
E02000937,33
E02000938,33
E02000939,35
E02000940,31
E02000941,33
E02000942,34
E02000943,32
E02000944,31
E02000945,29
E02000946,32
E02000947,33
E02000948,31
E02000949,33
E02000950,33
E02000951,32
E02000952,32
E02000953,31
E02000954,32
E02000955,31
E02000956,29
E02000957,31
E02000958,34
E02000959,32
E02000960,37
E02000961,34
E02000962,36
E02000963,33
E02000964,33
E02000965,33
E02000966,35
E02000967,32
E02000968,32
E02000969,32
E02000970,36
E02000971,33
E02000972,34
E02000973,34
E02000974,34
E02000975,32
E02000976,32
E02000977,35
E02000978,35
E02000979,35
E02000980,36
E02000981,34
E02000982,35
E02000983,37
E02000984,42
E02000985,46
E02000986,41
E02000987,41
E02000988,36
E02000989,48
E02000990,41
E02000991,41
E02000992,44
E02000993,33
E02000994,32
E02000995,41
E02000996,36
E02000997,44
E02000998,31
E02000999,34
E02001000,38
E02001001,36
E02001002,39
E02001003,46
E02001004,31
E02001005,31
E02001006,30
E02001007,42
E02001008,29
E02001009,39
E02001010,33
E02001011,41
E02001012,36
E02001013,43
E02001014,39
E02001015,41
E02001016,34
E02001017,38
E02001018,39
E02001019,40
E02001020,49
E02001021,43
E02001022,43
E02001023,40
E02001024,41
E02001025,37
E02001026,31
E02001027,36
E02001028,49
E02001029,35
E02001030,43
E02001031,40
E02001032,40
E02001033,35
E02001034,37
E02001035,45
E02001036,36
E02001037,45
E02001038,40
E02001039,35
E02001040,44
E02001041,37
E02001042,41
E02001043,40
E02001044,30
E02001045,38
E02001046,34
E02001047,36
E02001048,34
E02001049,39
E02001050,33
E02001051,36
E02001052,29
E02001053,32
E02001055,35
E02001056,32
E02001057,29
E02001059,30
E02001061,34
E02001062,25
E02001063,23
E02001064,31
E02001065,34
E02001066,22
E02001067,30
E02001068,26
E02001069,24
E02001070,22
E02001071,28
E02001072,31
E02001073,33
E02001074,30
E02001075,30
E02001076,21
E02001077,33
E02001078,33
E02001079,27
E02001080,22
E02001081,35
E02001082,28
E02001083,29
E02001084,28
E02001085,32
E02001086,33
E02001087,35
E02001088,34
E02001089,36
E02001090,41
E02001091,39
E02001092,34
E02001093,31
E02001094,31
E02001095,34
E02001096,38
E02001097,35
E02001098,46
E02001099,40
E02001100,44
E02001101,44
E02001102,40
E02001103,46
E02001104,37
E02001105,44
E02001106,42
E02001107,37
E02001108,33
E02001109,38
E02001110,46
E02001111,32
E02001112,44
E02001113,24
E02001114,38
E02001115,40
E02001116,30
E02001117,45
E02001118,43
E02001119,25
E02001121,27
E02001123,34
E02001124,36
E02001125,39
E02001126,33
E02001127,33
E02001128,39
E02001129,36
E02001130,44
E02001131,44
E02001132,40
E02001133,41
E02001134,43
E02001135,31
E02001136,40
E02001137,41
E02001138,44
E02001139,28
E02001140,35
E02001141,31
E02001142,46
E02001143,31
E02001144,39
E02001145,41
E02001146,29
E02001147,36
E02001148,40
E02001149,38
E02001150,38
E02001151,40
E02001152,38
E02001153,37
E02001154,37
E02001155,41
E02001156,44
E02001157,33
E02001158,37
E02001159,35
E02001160,35
E02001161,40.5
E02001162,42
E02001163,43
E02001164,32
E02001165,38
E02001166,27
E02001167,34
E02001168,39
E02001169,42
E02001170,43
E02001171,43
E02001172,30
E02001173,26
E02001174,38
E02001175,36
E02001176,40
E02001177,36
E02001178,28
E02001179,34
E02001180,31
E02001181,35
E02001182,36
E02001183,35
E02001184,29
E02001185,38
E02001186,37
E02001187,39
E02001188,33
E02001189,40
E02001190,31
E02001191,46
E02001192,40
E02001193,38
E02001194,44
E02001195,40
E02001196,46
E02001197,41
E02001198,42
E02001199,40
E02001200,40
E02001201,38
E02001202,33
E02001203,48
E02001204,37
E02001205,38
E02001206,46
E02001207,44
E02001208,38
E02001209,37
E02001210,40
E02001211,42
E02001212,32
E02001213,42
E02001214,45
E02001215,47
E02001216,44
E02001217,38
E02001218,44
E02001219,46
E02001220,43
E02001221,46
E02001222,45
E02001223,46
E02001224,51
E02001225,43
E02001226,41
E02001227,48
E02001228,47
E02001229,40
E02001230,44
E02001231,38
E02001232,37
E02001233,41
E02001234,37
E02001235,38
E02001236,36
E02001237,36
E02001238,42
E02001239,39
E02001240,40
E02001241,32
E02001242,43
E02001243,43
E02001244,43
E02001245,37
E02001246,41
E02001247,39
E02001248,34
E02001249,39
E02001250,42
E02001251,45
E02001252,45
E02001253,40
E02001254,41
E02001255,37
E02001256,33
E02001257,43
E02001258,44
E02001259,31
E02001260,42
E02001261,33
E02001262,34
E02001263,44
E02001264,38
E02001265,41
E02001266,40
E02001267,41
E02001268,45
E02001269,37
E02001270,38
E02001271,41
E02001272,41
E02001273,38
E02001274,47
E02001275,35
E02001276,39
E02001277,33
E02001278,40
E02001279,42
E02001280,40
E02001281,43
E02001282,36
E02001283,43
E02001284,40
E02001285,44
E02001286,46
E02001287,42
E02001288,44
E02001289,44
E02001290,44
E02001291,40
E02001292,44
E02001293,43
E02001294,38
E02001295,41
E02001296,31
E02001297,41
E02001298,34
E02001299,39
E02001300,40
E02001301,37
E02001302,40
E02001303,36
E02001304,44
E02001305,42
E02001306,43
E02001307,40
E02001308,43
E02001309,39
E02001310,35
E02001311,39
E02001312,36
E02001313,38
E02001314,39
E02001315,43
E02001316,35
E02001317,41
E02001318,43
E02001319,39
E02001320,40
E02001321,39
E02001322,44
E02001323,41
E02001324,38
E02001325,43
E02001326,43
E02001327,32
E02001328,37
E02001329,38
E02001330,37
E02001331,40
E02001332,40
E02001333,40
E02001334,35
E02001335,40
E02001336,36
E02001337,39
E02001338,39
E02001339,38
E02001340,44
E02001341,41
E02001342,47
E02001343,43
E02001344,42
E02001345,42
E02001346,38
E02001347,38
E02001348,37
E02001349,38
E02001350,38
E02001351,36
E02001352,35
E02001353,38
E02001354,37
E02001355,38
E02001356,33
E02001357,38
E02001358,35
E02001359,42
E02001360,37
E02001361,40
E02001362,44
E02001363,35
E02001364,37
E02001365,33
E02001366,37
E02001367,43
E02001368,41
E02001369,37
E02001370,40
E02001371,34
E02001372,42
E02001373,37
E02001374,33
E02001375,40
E02001376,32
E02001377,23
E02001378,40
E02001380,43
E02001381,30
E02001382,41
E02001383,28
E02001384,22
E02001385,28
E02001386,43
E02001387,41
E02001388,26
E02001389,33
E02001390,35
E02001391,40
E02001392,49
E02001393,46
E02001394,31
E02001395,41
E02001396,33
E02001397,46
E02001398,35
E02001399,44
E02001400,43
E02001401,45
E02001402,42
E02001403,35
E02001404,35
E02001405,32
E02001406,50
E02001407,48
E02001408,44
E02001409,43
E02001410,41
E02001411,41
E02001412,42
E02001413,43
E02001414,49
E02001415,36
E02001416,36
E02001417,38
E02001418,37
E02001419,38
E02001420,39
E02001421,40
E02001422,34
E02001423,46
E02001424,38
E02001425,42
E02001426,46
E02001427,38
E02001428,50
E02001429,48
E02001430,48
E02001431,56
E02001432,45
E02001433,38
E02001434,39
E02001435,38
E02001436,41
E02001437,52
E02001438,43
E02001439,44
E02001440,56
E02001441,52
E02001442,49
E02001443,49
E02001444,46
E02001445,48
E02001446,47
E02001447,49
E02001448,46
E02001449,48
E02001450,49
E02001451,43
E02001452,39
E02001453,45
E02001454,44
E02001455,43
E02001456,43
E02001457,39
E02001458,39
E02001459,38
E02001460,43
E02001461,42
E02001462,33
E02001463,38
E02001464,34
E02001465,40
E02001466,38
E02001467,43
E02001468,39
E02001469,46
E02001470,44
E02001471,36
E02001472,40
E02001473,41
E02001474,33
E02001475,38
E02001476,33
E02001477,32
E02001478,45
E02001479,43
E02001480,45
E02001481,42
E02001482,37
E02001483,44
E02001484,46
E02001485,38
E02001486,46
E02001487,32
E02001488,38
E02001489,49
E02001490,41
E02001491,40
E02001492,45
E02001493,34
E02001494,50
E02001495,42
E02001496,45
E02001497,38
E02001498,42
E02001499,49
E02001500,47
E02001501,43
E02001502,42
E02001503,48
E02001504,51
E02001505,42
E02001506,52
E02001507,46
E02001508,43
E02001509,43
E02001510,41
E02001511,42
E02001512,43
E02001513,43
E02001514,38
E02001515,38
E02001516,37
E02001517,44
E02001518,40
E02001519,39
E02001520,46
E02001521,35
E02001522,40
E02001523,39
E02001524,48
E02001525,40
E02001526,37
E02001527,43
E02001528,42
E02001529,42
E02001530,38
E02001531,40
E02001532,42
E02001533,38
E02001534,39
E02001535,46
E02001536,44
E02001537,39
E02001538,43
E02001539,37
E02001540,42
E02001541,42
E02001542,39
E02001543,41
E02001544,39
E02001545,44
E02001546,40
E02001547,36
E02001548,35
E02001549,43
E02001550,40
E02001551,39
E02001552,35
E02001553,39
E02001554,42
E02001555,46
E02001556,37
E02001557,37
E02001558,49
E02001559,43
E02001560,32
E02001561,37
E02001562,43
E02001563,46
E02001564,47
E02001565,45
E02001566,32
E02001567,38
E02001568,42
E02001569,37
E02001570,40
E02001571,45
E02001572,38
E02001573,38
E02001574,42
E02001575,36
E02001576,41
E02001577,50
E02001578,38
E02001579,42
E02001580,44
E02001581,43
E02001582,43
E02001583,38
E02001584,45
E02001585,38
E02001586,45
E02001587,41
E02001588,40
E02001589,40
E02001590,32
E02001591,33
E02001592,43
E02001593,31
E02001594,33
E02001595,42
E02001596,45
E02001597,38
E02001598,44
E02001599,44
E02001600,40
E02001601,45
E02001602,42
E02001603,42
E02001604,38
E02001605,41
E02001606,41
E02001607,43
E02001608,41
E02001609,46
E02001610,43
E02001611,43
E02001612,43
E02001613,43
E02001614,43
E02001615,48
E02001616,43
E02001617,32
E02001618,42
E02001619,39
E02001620,34
E02001621,35
E02001622,37
E02001623,35
E02001624,36
E02001625,35
E02001626,40
E02001627,34
E02001628,30
E02001629,37
E02001630,29
E02001631,39
E02001632,27
E02001633,47
E02001634,35
E02001635,45
E02001636,31
E02001637,28
E02001638,22
E02001639,31
E02001640,22
E02001642,38
E02001643,46
E02001646,21
E02001647,43
E02001648,21
E02001649,33
E02001650,23
E02001651,46
E02001652,22
E02001653,32
E02001654,43
E02001655,40
E02001656,30
E02001657,38
E02001658,34
E02001659,42
E02001660,33
E02001661,37
E02001662,43
E02001663,35
E02001664,43
E02001665,46
E02001666,39
E02001669,38
E02001670,38
E02001671,46
